epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5065.34,1.75062,0.70006,0.8935,0.92446,0.89551,0.93356,0.43589,1.76054,0.69125,0.89126,0.000643101,0.000643101,0.000643101
43,5181.34,1.77014,0.71035,0.89333,0.92675,0.90125,0.94037,0.44213,1.75023,0.6913,0.8892,0.000628101,0.000628101,0.000628101
44,5301.5,1.73503,0.69258,0.89275,0.92394,0.90236,0.94053,0.44448,1.74506,0.68467,0.88836,0.000612981,0.000612981,0.000612981
45,5437.22,1.73085,0.68991,0.88898,0.92599,0.89862,0.93768,0.44399,1.73897,0.68981,0.88766,0.000597754,0.000597754,0.000597754
46,5565.39,1.72724,0.69484,0.88848,0.92173,0.90084,0.93991,0.43576,1.75945,0.69319,0.88876,0.000582435,0.000582435,0.000582435
47,5689.61,1.76481,0.69938,0.89072,0.92267,0.89793,0.93611,0.43458,1.76539,0.69557,0.89121,0.00056704,0.00056704,0.00056704
48,5815.51,1.75311,0.69732,0.88821,0.93023,0.899,0.93847,0.44016,1.74242,0.68134,0.8882,0.000551584,0.000551584,0.000551584
49,5940.58,1.72188,0.68237,0.89192,0.92484,0.89904,0.9397,0.4405,1.73971,0.68472,0.88728,0.000536081,0.000536081,0.000536081
50,6066.51,1.70631,0.6822,0.88904,0.92654,0.90368,0.93932,0.44457,1.74011,0.67924,0.88714,0.000520548,0.000520548,0.000520548
51,6188.03,1.719,0.68627,0.88868,0.92719,0.90763,0.94226,0.44789,1.73729,0.68309,0.88704,0.000505,0.000505,0.000505
52,6307.75,1.70763,0.67798,0.8879,0.93016,0.90353,0.93769,0.43549,1.74082,0.67512,0.88714,0.000489452,0.000489452,0.000489452
53,6429.35,1.71725,0.68223,0.88649,0.92602,0.90416,0.94324,0.44648,1.73081,0.67179,0.88507,0.000473919,0.000473919,0.000473919
54,6551.36,1.71409,0.67529,0.88944,0.92637,0.90403,0.94019,0.44395,1.74612,0.67657,0.88955,0.000458416,0.000458416,0.000458416
55,6671.66,1.71838,0.68182,0.89068,0.92698,0.90087,0.94215,0.44471,1.74643,0.67614,0.88639,0.00044296,0.00044296,0.00044296
